Order,PID,MS SubClass,MS Zoning,Lot Frontage,Lot Area,Lot Shape,Land Contour,Lot Config,Neighborhood,Condition 1,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Exterior 1st,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Misc Val,Mo Sold,Yr Sold,Sale Type,Sale Condition,SalePrice,Total_Bathrooms,Total_Porch_SF,Lot Area_Log,SalePrice_Log
15,527182190,120,5,60.0,6820,0,3,0,25,2,4,2,8,5,1985,1985,1,6,3,0.0,4,3,2,4,3,0,2,368.0,1,1120.0,0.0,1488.0,3,1,4,1502,0,0,1502,1.0,0.0,1,1,1,1,4,4,7,0,1,1985.0,2,2.0,2,0,54,0,0,140,0,0,6,2010,9,4,212000,2.5,194,8.82776136765472,12.264346270624157
16,527216070,60,5,47.0,53504,1,1,1,25,2,0,5,8,5,2003,2003,3,5,1,603.0,5,3,2,4,3,1,0,1416.0,6,0.0,234.0,1650.0,5,1,4,1690,1589,0,3279,1.0,0.0,3,1,4,1,5,12,4,1,3,2003.0,0,3.0,2,503,36,0,0,210,0,0,6,2010,9,4,538000,4.5,246,10.887530386461101,13.195615697878253
17,527225035,50,5,152.0,12134,0,0,4,8,2,0,0,8,7,1988,2005,1,14,3,0.0,4,3,5,4,3,0,2,427.0,6,0.0,132.0,559.0,4,1,4,1080,672,0,1752,0.0,0.0,2,0,4,1,3,8,7,0,2,1988.0,2,2.0,2,325,12,0,0,0,0,0,6,2010,9,4,164000,2.0,12,9.403849118160702,12.00762780434872
18,527258010,20,5,88.0,11394,3,3,0,25,2,0,2,9,2,2010,2010,3,13,4,350.0,4,3,2,5,3,0,2,1445.0,6,0.0,411.0,1856.0,5,1,4,1856,0,0,1856,1.0,0.0,1,1,1,1,5,8,7,1,1,2010.0,0,3.0,2,113,0,0,0,0,0,0,6,2010,6,5,394432,2.5,0,9.340929941679784,12.885204569609956
19,527276150,20,5,140.0,19138,3,3,0,8,2,0,2,4,5,1951,1951,1,13,3,0.0,3,3,1,3,3,3,3,120.0,6,0.0,744.0,864.0,5,1,4,864,0,0,864,0.0,0.0,1,0,2,1,3,4,7,0,5,1951.0,3,2.0,2,0,0,0,0,0,0,0,6,2010,9,4,141000,1.0,0,9.859483417038073,11.856522261533737
20,527302110,20,5,85.0,13175,3,3,4,17,2,0,2,6,6,1978,1988,1,9,4,119.0,3,3,1,4,3,3,0,790.0,5,163.0,589.0,1542.0,3,1,4,2073,0,0,2073,1.0,0.0,2,0,3,1,3,7,2,2,1,1978.0,3,2.0,2,349,0,0,0,0,0,0,2,2010,9,4,210000,3.0,0,9.486152271857476,12.25486757159303
21,527358140,20,5,105.0,11751,0,3,4,17,2,0,2,6,6,1977,1977,3,9,1,480.0,3,3,1,4,3,3,1,705.0,6,0.0,1139.0,1844.0,5,1,4,1844,0,0,1844,0.0,0.0,2,0,3,1,3,7,7,1,1,1977.0,2,2.0,2,0,122,0,0,0,0,0,1,2010,0,4,190000,2.0,122,9.371778717853713,12.154784614286667
22,527358200,85,5,85.0,10625,3,3,4,17,2,0,6,7,6,1974,1974,1,9,1,81.0,3,3,1,4,3,1,2,885.0,3,168.0,0.0,1053.0,3,1,4,1173,0,0,1173,1.0,0.0,2,0,3,1,4,6,7,2,1,1974.0,2,2.0,2,0,120,0,0,0,0,0,1,2010,9,3,170000,3.0,120,9.271059107010888,12.04355959836804
23,527368020,60,2,72.5,7500,3,3,4,24,2,0,5,7,5,2000,2000,1,13,3,0.0,4,3,2,4,3,3,2,533.0,6,0.0,281.0,814.0,5,1,4,814,860,0,1674,1.0,0.0,2,1,3,1,4,7,7,0,1,2000.0,2,2.0,2,0,96,0,0,0,0,0,1,2010,9,4,216000,3.5,96,8.922791623969637,12.283038316285214
24,527402200,20,5,73.0,11241,0,3,1,15,2,0,2,6,7,1970,1970,1,14,1,180.0,3,3,1,3,3,3,0,578.0,6,0.0,426.0,1004.0,5,1,4,1004,0,0,1004,1.0,0.0,1,0,2,1,3,5,7,1,1,1970.0,0,2.0,2,0,0,0,0,0,0,700,3,2010,9,4,149000,2.0,0,9.32741204356202,11.91170829631447
25,527402250,20,5,73.0,12537,0,3,1,15,2,0,2,5,6,1971,2008,1,13,3,0.0,3,3,1,3,3,3,2,734.0,6,0.0,344.0,1078.0,5,1,4,1078,0,0,1078,1.0,0.0,1,1,3,1,3,6,7,1,1,1971.0,0,2.0,2,0,0,0,0,0,0,0,4,2010,9,4,149900,2.5,0,9.436519311833914,11.917730355182513
26,527403020,20,5,65.0,8450,3,3,4,15,2,0,2,5,6,1968,1968,1,13,3,0.0,3,3,1,3,3,3,1,775.0,6,0.0,281.0,1056.0,5,1,4,1056,0,0,1056,1.0,0.0,1,0,3,1,3,6,7,1,1,1968.0,3,1.0,2,0,85,184,0,0,0,0,7,2010,9,4,142000,2.0,269,9.042040056544483,11.863589378812122
27,527404120,20,5,70.0,8400,3,3,0,15,2,0,2,4,5,1970,1970,1,9,3,0.0,3,3,1,3,3,3,0,804.0,5,78.0,0.0,882.0,3,1,4,882,0,0,882,1.0,0.0,1,0,2,1,3,4,7,0,1,1970.0,0,2.0,2,240,0,0,0,0,0,0,4,2010,9,4,126000,2.0,0,9.036106025364846,11.744045122410057
28,527425090,20,5,70.0,10500,3,3,2,15,2,0,2,4,5,1971,1971,1,6,3,0.0,3,3,1,3,3,3,0,432.0,6,0.0,432.0,864.0,3,1,4,864,0,0,864,0.0,0.0,1,0,3,1,3,5,7,1,6,0.0,1,0.0,2,0,0,0,0,0,0,0,4,2010,4,4,115000,1.0,0,9.259225769705994,11.652696102959753
29,527427230,120,4,26.0,5858,0,3,2,15,2,4,2,7,5,1999,1999,1,8,3,0.0,4,3,2,4,3,3,2,1051.0,1,0.0,354.0,1405.0,5,1,4,1337,0,0,1337,1.0,0.0,2,0,2,1,4,5,7,1,1,1999.0,0,2.0,2,203,68,0,0,0,0,0,6,2010,9,4,184000,3.0,68,8.675734219544788,12.122696471358964
30,527451180,160,6,21.0,1680,3,3,4,2,2,3,5,6,5,1971,1971,1,6,1,504.0,3,3,1,3,3,3,5,156.0,6,0.0,327.0,483.0,3,1,4,483,504,0,987,0.0,0.0,1,1,2,1,3,5,7,0,5,1971.0,3,1.0,2,275,0,0,0,0,0,0,2,2010,0,4,96000,1.5,0,7.427144133408616,11.472113887062386
31,527451330,160,6,21.0,1680,3,3,4,2,2,3,5,5,5,1971,1971,1,6,1,492.0,3,3,1,3,3,3,5,300.0,6,0.0,225.0,525.0,3,1,4,525,567,0,1092,0.0,0.0,1,1,3,1,3,6,7,0,5,1997.0,3,1.0,2,0,0,0,0,0,0,0,3,2010,9,4,105500,1.5,0,7.427144133408616,11.566475710526321
32,527451410,160,6,21.0,1680,3,3,4,2,2,3,5,6,5,1971,1971,1,6,1,381.0,3,3,1,3,3,3,6,0.0,6,0.0,525.0,525.0,3,1,4,525,567,0,1092,0.0,0.0,1,1,3,1,3,6,7,0,5,1971.0,3,1.0,2,0,0,0,0,0,0,0,3,2010,9,3,88000,1.5,0,7.427144133408616,11.385103457032141
33,527452190,120,5,53.0,4043,3,3,4,16,2,4,2,6,5,1977,1977,1,9,3,0.0,3,3,1,4,3,3,0,360.0,6,0.0,709.0,1069.0,3,1,4,1069,0,0,1069,0.0,0.0,2,0,2,1,3,4,7,1,1,1977.0,2,2.0,2,0,55,0,0,165,0,0,7,2010,9,4,127500,2.0,220,8.304989580140361,11.755879486687116
34,527453130,160,5,24.0,2280,3,3,2,16,2,3,5,6,6,1975,1975,1,9,3,0.0,3,3,1,3,3,3,0,514.0,6,0.0,341.0,855.0,3,1,4,855,601,0,1456,0.0,0.0,2,1,3,1,4,6,7,1,1,1975.0,3,2.0,2,173,0,0,0,0,0,0,6,2010,9,4,149900,2.5,0,7.732369222284388,11.917730355182513
35,527453150,120,5,24.0,2280,3,3,2,16,2,3,2,7,6,1975,1975,1,9,3,0.0,3,3,1,4,3,3,6,0.0,6,0.0,836.0,836.0,5,1,4,836,0,0,836,0.0,0.0,1,0,2,1,3,4,7,0,1,1975.0,3,1.0,2,0,30,0,0,0,0,0,6,2010,9,4,120000,1.0,30,7.732369222284388,11.695255355062795
36,527454200,160,5,24.0,2280,3,3,4,16,2,3,5,6,5,1978,1978,1,9,3,0.0,3,3,1,4,3,3,0,311.0,6,0.0,544.0,855.0,2,1,4,855,601,0,1456,0.0,0.0,2,1,3,1,3,7,7,1,1,1978.0,3,2.0,2,26,0,0,0,0,0,0,7,2010,9,4,146000,2.5,0,7.732369222284388,11.891368749982085
37,528108120,60,5,102.0,12858,0,3,4,19,2,0,5,9,5,2009,2010,1,13,4,162.0,5,3,2,5,3,3,6,0.0,6,0.0,1590.0,1590.0,5,1,4,1627,707,0,2334,0.0,0.0,2,1,3,1,5,10,7,1,1,2009.0,0,3.0,2,144,133,0,0,0,0,0,1,2010,6,5,376162,2.5,133,9.461799234270439,12.837777839071741
38,528112020,20,5,98.0,11478,3,3,4,19,2,0,2,8,5,2007,2008,1,13,4,200.0,4,3,2,5,3,3,2,1218.0,6,0.0,486.0,1704.0,5,1,4,1704,0,0,1704,1.0,0.0,2,0,3,1,4,7,7,1,1,2008.0,2,3.0,2,0,50,0,0,0,0,0,5,2010,9,4,306000,3.0,50,9.348274558065496,12.631343648903034
39,528120060,20,5,83.0,10159,0,3,4,19,2,0,2,9,5,2009,2010,3,13,4,450.0,5,3,2,5,3,0,2,1646.0,6,0.0,284.0,1930.0,5,1,4,1940,0,0,1940,1.0,0.0,2,1,3,1,5,8,7,1,1,2010.0,0,3.0,2,168,95,0,0,0,0,0,4,2010,6,5,395192,3.5,95,9.226213721132472,12.887129532148373
40,528120090,20,5,94.0,12883,0,3,0,19,2,0,2,8,5,2009,2010,1,13,4,256.0,4,3,2,4,3,3,6,0.0,6,0.0,1544.0,1544.0,5,1,4,1544,0,0,1544,0.0,0.0,2,0,3,1,4,7,7,0,1,2009.0,2,3.0,2,0,35,0,0,0,0,0,6,2010,6,5,290941,2.0,35,9.46374151045109,12.580879213573434
41,528120100,20,5,95.0,12182,3,3,0,19,2,0,2,7,5,2005,2005,1,13,1,226.0,4,3,2,4,3,2,1,1201.0,6,0.0,340.0,1541.0,5,1,4,1541,0,0,1541,0.0,0.0,2,0,3,1,4,7,7,1,1,2005.0,2,2.0,2,0,70,0,0,0,0,0,5,2010,6,5,220000,2.0,70,9.407796816354407,12.301387370778713
42,528120120,20,5,90.0,11520,3,3,4,19,4,0,2,9,5,2005,2005,3,13,1,615.0,4,3,2,5,3,3,2,110.0,6,0.0,1588.0,1698.0,5,1,4,1698,0,0,1698,0.0,0.0,2,0,3,1,5,7,7,1,1,2005.0,0,3.0,2,192,74,0,0,0,0,0,6,2010,9,4,275000,2.0,74,9.351926736038054,12.524530013005734
43,528138020,20,5,79.0,14122,0,3,4,19,2,0,2,8,5,2005,2006,3,5,1,240.0,4,3,2,5,3,3,2,28.0,6,0.0,1794.0,1822.0,5,1,4,1822,0,0,1822,0.0,0.0,2,0,3,1,5,8,7,1,1,2005.0,2,3.0,2,0,119,0,0,0,0,0,2,2010,9,4,259000,2.0,119,9.555559953069064,12.464587201678082
44,528138060,20,5,70.0,10171,0,3,4,19,2,0,2,7,5,2004,2004,1,13,1,168.0,4,3,2,4,3,3,2,2.0,6,0.0,1515.0,1517.0,5,1,4,1535,0,0,1535,0.0,0.0,2,0,3,1,4,7,7,0,1,2004.0,2,2.0,2,0,0,0,0,0,0,0,3,2010,9,4,214000,2.0,0,9.227394126542011,12.273735966890268
45,528150070,20,5,100.0,12919,0,3,4,19,2,0,2,9,5,2009,2010,3,13,4,760.0,5,3,2,5,3,1,2,2188.0,6,0.0,142.0,2330.0,5,1,4,2364,0,0,2364,1.0,0.0,2,1,2,1,5,11,7,2,1,2009.0,0,3.0,2,0,67,0,0,0,0,0,3,2010,6,5,611657,3.5,67,9.466531777336593,13.323928581764989
46,528175010,120,5,44.0,6371,0,3,4,19,2,4,2,7,5,2009,2010,1,13,4,128.0,4,3,2,4,3,2,2,733.0,6,0.0,625.0,1358.0,5,1,4,1358,0,0,1358,1.0,0.0,2,0,2,1,4,6,7,1,1,2010.0,2,2.0,2,192,35,0,0,0,0,0,6,2010,6,5,224000,3.0,35,8.759668671029939,12.319405795112926
47,528176010,20,5,110.0,14300,3,1,4,19,2,0,2,9,5,2003,2004,3,13,1,1095.0,5,3,2,5,3,1,2,1373.0,6,0.0,1473.0,2846.0,5,1,4,2696,0,0,2696,1.0,0.0,2,1,3,1,5,10,7,2,1,2003.0,0,3.0,2,220,150,0,0,0,0,0,6,2010,9,4,500000,3.5,150,9.568084743872936,13.122365377402328
48,528176070,60,5,105.0,13650,3,3,0,19,2,0,5,8,5,2002,2002,1,13,1,232.0,4,3,2,4,3,1,2,578.0,6,0.0,1093.0,1671.0,5,1,4,1687,563,0,2250,1.0,0.0,2,1,3,1,4,7,7,1,1,2002.0,0,3.0,2,238,130,0,0,0,0,0,6,2010,9,4,320000,3.5,130,9.521568058002977,12.676079399771027
49,528180070,120,5,61.0,7658,3,3,4,19,2,4,2,9,5,2005,2005,3,8,1,412.0,5,3,2,5,3,3,2,456.0,6,0.0,1296.0,1752.0,5,1,4,1752,0,0,1752,1.0,0.0,2,0,2,1,5,6,7,1,1,2005.0,2,2.0,2,196,82,0,0,0,0,0,2,2010,9,4,319900,3.0,82,8.943636705909594,12.675766851909591
50,528181050,120,5,41.0,7132,0,3,4,19,2,4,2,8,5,2006,2006,1,13,4,178.0,4,3,2,4,3,2,2,24.0,6,0.0,1346.0,1370.0,5,1,4,1370,0,0,1370,0.0,0.0,2,0,2,1,4,6,7,1,1,2006.0,2,2.0,2,120,49,0,0,0,0,0,4,2010,9,4,205000,2.0,49,8.872487182278038,12.230770136157428
51,528188120,160,5,36.0,2628,3,3,4,19,2,3,5,7,5,2003,2003,1,13,4,106.0,4,3,2,4,3,3,6,0.0,6,0.0,764.0,764.0,5,1,4,764,862,0,1626,0.0,0.0,2,1,2,1,4,6,7,0,3,2003.0,2,2.0,2,0,27,0,0,0,0,0,6,2010,9,4,175500,2.5,27,7.874358824729881,12.075400019877522
52,528218150,20,5,100.0,18494,0,3,0,8,2,0,2,6,5,2005,2005,1,13,3,0.0,4,3,2,4,3,3,6,0.0,6,0.0,1324.0,1324.0,5,1,4,1324,0,0,1324,0.0,0.0,2,0,3,1,4,6,7,0,1,2005.0,0,2.0,2,36,23,0,0,0,0,0,1,2010,9,4,199500,2.0,23,9.825255704266555,12.20357452783082
53,528228285,120,5,43.0,3203,3,3,4,0,2,4,2,7,5,2006,2006,1,13,1,14.0,4,3,2,4,3,0,2,16.0,6,0.0,1129.0,1145.0,5,1,4,1145,0,0,1145,0.0,0.0,2,0,2,1,4,6,7,0,1,2006.0,0,2.0,2,100,116,0,0,0,0,0,1,2010,9,4,160000,2.0,116,8.07215530818825,11.982935344196433
54,528228440,120,5,43.0,3182,3,3,4,0,2,4,2,8,5,2004,2005,1,13,1,16.0,4,3,2,4,3,3,2,24.0,6,0.0,1232.0,1256.0,5,1,4,1269,0,0,1269,0.0,0.0,2,0,2,1,4,6,7,1,1,2004.0,0,2.0,2,146,20,0,0,144,0,0,4,2010,9,4,192000,2.0,164,8.065579427282092,12.165255859329688
55,528231020,80,5,67.0,13300,0,3,4,8,2,0,7,7,5,2004,2004,1,13,3,0.0,4,3,2,4,3,3,2,326.0,6,0.0,58.0,384.0,5,1,4,744,630,0,1374,1.0,0.0,2,1,3,1,4,7,7,1,3,2004.0,0,2.0,2,100,0,0,0,0,0,0,6,2010,9,4,184500,3.5,0,9.495594499353297,12.12541016250223
56,528240070,60,5,64.0,7851,3,3,4,8,2,0,5,6,5,2002,2002,1,13,3,0.0,4,3,2,4,3,3,2,625.0,6,0.0,235.0,860.0,5,1,4,860,1100,0,1960,1.0,0.0,2,1,4,1,4,8,7,2,3,2002.0,0,2.0,2,288,48,0,0,0,0,0,5,2010,9,4,216500,3.5,48,8.968523555396352,12.285350445351659
57,528240130,60,5,63.0,8577,0,3,4,8,2,0,5,7,5,2004,2004,1,13,3,0.0,4,3,2,4,3,3,6,0.0,6,0.0,847.0,847.0,5,1,4,847,886,0,1733,0.0,0.0,2,1,3,1,4,7,7,1,3,2004.0,0,2.0,2,144,48,0,0,0,0,0,4,2010,9,4,185088,2.5,48,9.056956065076825,12.12859206945914
58,528250100,80,5,64.0,7750,0,3,4,8,2,0,7,7,5,2000,2000,1,13,3,0.0,3,3,2,4,3,3,2,250.0,6,0.0,134.0,384.0,5,1,4,774,656,0,1430,0.0,0.0,2,1,3,1,3,7,7,1,3,2000.0,0,2.0,2,180,0,0,0,0,0,0,4,2010,9,4,180000,2.5,0,8.955577146281511,12.100717685412471
59,528292020,60,5,64.0,9505,0,3,1,8,2,0,5,7,5,2001,2001,1,13,1,180.0,4,3,2,4,3,3,6,0.0,6,0.0,884.0,884.0,5,1,4,884,1151,0,2035,0.0,0.0,2,1,3,1,4,8,7,1,3,2001.0,0,2.0,2,144,48,0,0,0,0,0,5,2010,9,4,222500,2.5,48,9.159678457173955,12.312686874960354
60,528328100,60,5,108.0,14774,0,3,0,18,2,0,5,9,5,1999,1999,1,13,1,165.0,4,3,2,4,3,3,6,0.0,6,0.0,1393.0,1393.0,5,1,4,1422,1177,0,2599,0.0,0.0,2,1,4,1,4,10,7,1,3,1999.0,0,3.0,2,668,30,0,0,0,0,0,5,2010,9,4,333168,2.5,30,9.6006918422743,12.716405147731708
61,528344070,60,5,60.0,17433,1,3,1,18,2,0,5,8,5,1998,1998,3,13,1,114.0,4,3,2,5,3,3,6,0.0,6,0.0,1629.0,1629.0,5,1,4,1645,830,0,2475,0.0,0.0,2,1,4,1,4,7,7,1,1,1998.0,0,3.0,2,23,172,0,0,256,0,0,1,2010,9,4,355000,2.5,428,9.76617760157152,12.779875885354993
62,528358010,20,5,59.0,10593,0,3,4,18,2,0,2,7,5,1996,1996,3,13,1,338.0,4,3,2,4,3,3,2,919.0,6,0.0,801.0,1720.0,5,1,4,1720,0,0,1720,1.0,0.0,2,0,3,1,4,7,7,1,1,1996.0,0,2.0,2,240,56,154,0,0,0,0,3,2010,9,4,260400,3.0,210,9.268043082104471,12.469978029554953
63,528363130,60,5,98.0,12256,0,3,0,18,2,0,5,8,5,1994,1995,1,6,1,362.0,4,3,2,5,3,0,2,1032.0,6,0.0,431.0,1463.0,5,1,4,1500,1122,0,2622,1.0,0.0,2,1,3,1,4,9,7,2,1,1994.0,2,2.0,2,186,32,0,0,0,0,0,4,2010,9,4,325000,3.5,32,9.413852481341165,12.691583538230217
64,528382020,60,5,92.0,11764,0,3,1,18,2,0,5,8,7,1999,2007,1,13,1,348.0,4,3,2,4,3,3,2,524.0,6,0.0,628.0,1152.0,5,1,4,1164,1106,0,2270,0.0,0.0,2,1,4,1,4,9,7,1,1,1999.0,0,3.0,2,132,57,0,0,0,0,0,4,2010,9,4,290000,2.5,57,9.372884301161463,12.577639650232573
65,528382030,60,5,58.0,16770,1,3,1,18,2,0,5,7,5,1998,1998,1,13,1,30.0,4,3,2,4,3,3,6,0.0,6,0.0,1195.0,1195.0,4,1,4,1195,644,0,1839,0.0,0.0,2,1,4,1,3,7,7,0,1,1998.0,0,2.0,2,0,81,0,0,0,0,0,6,2010,9,4,221000,2.5,81,9.727406483331627,12.30592250537653
66,528386040,50,5,56.0,14720,0,3,1,18,2,0,0,8,5,1995,1996,3,13,1,579.0,4,3,2,4,3,0,2,816.0,6,0.0,1217.0,2033.0,5,1,4,2053,1185,0,3238,1.0,0.0,2,1,4,1,4,9,7,1,1,1996.0,0,3.0,2,283,86,0,0,0,0,0,3,2010,9,4,410000,3.5,86,9.597030324758013,12.923914877701906
67,528445060,20,5,73.0,8987,3,3,4,24,2,0,2,8,5,2005,2006,1,13,1,226.0,4,3,2,4,3,4,6,0.0,6,0.0,1595.0,1595.0,5,1,4,1595,0,0,1595,0.0,0.0,2,0,2,1,4,6,7,1,1,2005.0,2,3.0,2,144,0,0,0,0,0,0,5,2010,9,4,221500,2.0,0,9.10364563330522,12.308182383129823
68,528456160,20,2,92.0,9215,3,3,4,24,2,0,2,7,5,2009,2010,3,13,3,0.0,4,3,2,4,3,3,6,0.0,6,0.0,1218.0,1218.0,5,1,4,1218,0,0,1218,0.0,0.0,2,0,2,1,4,4,7,0,1,2009.0,2,2.0,2,0,136,0,0,0,0,0,4,2010,6,5,204500,2.0,136,9.128696382935672,12.228328144428588
69,528458070,60,2,72.0,8640,3,3,4,24,2,0,5,7,5,2009,2009,1,13,3,0.0,3,3,2,4,3,2,2,24.0,6,0.0,732.0,756.0,5,1,4,764,783,0,1547,0.0,0.0,2,1,3,1,4,7,7,0,1,2009.0,3,2.0,2,169,45,0,0,0,0,0,6,2010,2,4,215200,2.5,45,9.0642735958414,12.279327754099118
